,date,open,high,low,close,volume,oi
1082,2022-07-18 14:47:00+05:30,690.2,693.9,690.2,691.75,150,223700
1083,2022-07-18 14:48:00+05:30,691.75,691.75,691.75,691.75,0,223700
1084,2022-07-18 14:49:00+05:30,691.75,691.75,691.75,691.75,0,223700
1085,2022-07-18 14:50:00+05:30,691.75,701.5,691.75,701.5,250,223400
1086,2022-07-18 14:51:00+05:30,701.5,701.5,701.5,701.5,0,223400
1087,2022-07-18 14:52:00+05:30,701.5,702.9,701.5,702.9,50,223250
1088,2022-07-18 14:53:00+05:30,702.9,702.9,702.9,702.9,0,223250
1089,2022-07-18 14:54:00+05:30,702.9,702.9,702.9,702.9,0,223250
1090,2022-07-18 14:55:00+05:30,702.9,709.6,702.9,708.0,750,223200
1091,2022-07-18 14:56:00+05:30,708.0,708.0,707.6,707.6,50,223200
1092,2022-07-18 14:57:00+05:30,707.6,707.6,702.55,702.55,150,223050
1093,2022-07-18 14:58:00+05:30,702.55,704.0,702.55,704.0,100,223050
1094,2022-07-18 14:59:00+05:30,704.0,704.0,701.45,701.45,50,223050
1095,2022-07-18 15:00:00+05:30,701.45,701.45,701.45,701.45,0,223050
1096,2022-07-18 15:01:00+05:30,701.45,717.05,701.45,717.05,2200,223050
1097,2022-07-18 15:02:00+05:30,717.05,719.2,716.95,719.2,200,223050
1098,2022-07-18 15:03:00+05:30,718.95,723.9,718.95,721.65,300,221550
1099,2022-07-18 15:04:00+05:30,721.65,721.65,721.65,721.65,0,221550
1100,2022-07-18 15:05:00+05:30,721.65,721.65,718.0,718.0,100,221550
1101,2022-07-18 15:06:00+05:30,718.0,718.0,717.4,717.4,100,221350
1102,2022-07-18 15:07:00+05:30,717.4,724.6,717.4,724.6,150,221350
1103,2022-07-18 15:08:00+05:30,724.6,725.0,724.1,725.0,100,221350
1104,2022-07-18 15:09:00+05:30,725.0,725.0,725.0,725.0,0,221350
1105,2022-07-18 15:10:00+05:30,725.0,725.0,725.0,725.0,0,221350
1106,2022-07-18 15:11:00+05:30,725.0,725.0,725.0,725.0,0,221350
1107,2022-07-18 15:12:00+05:30,725.0,725.0,715.0,715.0,100,221200
1108,2022-07-18 15:13:00+05:30,715.0,715.0,715.0,715.0,0,221200
1109,2022-07-18 15:14:00+05:30,715.0,715.0,715.0,715.0,0,221200
1110,2022-07-18 15:15:00+05:30,715.0,715.0,710.15,710.15,100,221200
1111,2022-07-18 15:16:00+05:30,710.15,719.1,710.15,719.05,650,221000
1112,2022-07-18 15:17:00+05:30,719.05,720.75,717.95,719.05,3650,221000
1113,2022-07-18 15:18:00+05:30,719.05,719.05,717.35,718.9,350,223350
1114,2022-07-18 15:19:00+05:30,718.9,721.7,718.9,720.8,200,223350
1115,2022-07-18 15:20:00+05:30,720.8,721.85,719.1,719.1,400,223350
1116,2022-07-18 15:21:00+05:30,723.65,723.65,721.5,721.5,300,223350
1117,2022-07-18 15:22:00+05:30,721.5,725.0,721.5,725.0,100,222900
1118,2022-07-18 15:23:00+05:30,725.0,725.0,722.0,722.0,50,222900
1119,2022-07-18 15:24:00+05:30,722.0,722.0,721.55,721.55,100,222900
1120,2022-07-18 15:25:00+05:30,721.55,721.6,721.55,721.6,50,222750
1121,2022-07-18 15:26:00+05:30,721.6,721.6,721.6,721.6,0,222750
1122,2022-07-18 15:27:00+05:30,721.6,721.6,721.6,721.6,0,222750
1123,2022-07-18 15:28:00+05:30,721.6,721.6,721.6,721.6,0,222750
1124,2022-07-18 15:29:00+05:30,721.6,730.5,721.6,730.5,200,222750
1125,2022-07-19 09:15:00+05:30,638.15,659.85,638.15,657.25,550,222600
1126,2022-07-19 09:16:00+05:30,655.05,660.45,655.05,656.85,400,222600
1127,2022-07-19 09:17:00+05:30,660.15,660.15,660.15,660.15,150,222600
1128,2022-07-19 09:18:00+05:30,660.15,662.2,660.15,662.2,50,222550
1129,2022-07-19 09:19:00+05:30,662.2,668.75,662.2,668.75,100,222550
